Village,      No,   ABR,  ATP, P_obs,P_pred,M_obs,M_pred, L_obs,L_pred, ATP_pred, Country
Tcholliré,     1,  1000,   17, 49.5,       ,  9.6,      , 0.017,      ,         , Cameroon
R. Manga,      2,  2200,   49, 51.9,       , 10.2,      , 0.016,      ,         , Cameroon
Nonozé,        3,  2400,   77,   NA,       , 33.6,      , 0.032,      ,         , Cameroon
Douffing,      4,  2500,   55, 62.2,       ,   21,      , 0.022,      ,         , Cameroon
Nasso,         5,  2620,  222, 54.8,       ,   28,      , 0.085,      ,         , B.F./C.d'I.
Touboro,       6,  8960,  922,   71,       , 56.4,      , 0.103,      ,         , Cameroon
Péndié,        7,  9674,  959, 70.3,       , 41.5,      , 0.099,      ,         , B.F./C.d'I.
Larki,         8, 10700,   79, 65.9,       , 14.4,      , 0.007,      ,         , Cameroon
Gandi-2,       9, 14152,  474, 71.8,       , 39  ,      , 0.033,      ,         , Cameroon
Bonandiga,    10, 16850, 1673, 85.2,       , 64.2,      , 0.099,      ,         , Cameroon
Dangouadougou,11, 21300, 1601,   73,       , 54.3,      , 0.075,      ,         , B.F./C.d'I.
Mbai-Mboum,   12, 28500, 1750, 94.3,       , 65.3,      , 0.061,      ,         , Cameroon
Mayo Galké,   13, 36200, 1318, 91.6,       , 60.6,      , 0.036,      ,         , Cameroon
Fétékro,      14, 48000, 1948,   76,       , 66  ,      , 0.041,      ,         , B.F./C.d'I.
Bédara,       15,174750, 6925,   98,       , 119 ,      , 0.04 ,      ,         , Cameroon

